real0,classification
real,string
1,999999
2,999998
3,999997
4,999996
5,999995
6,999994
7,999993
8,999992
9,999991
10,999990
11,999989
12,999988
13,999987
14,999986
15,999985
16,999984
17,999983
18,999982
19,999981
20,999980
21,999979
22,999978
23,999977
24,999976
25,999975
26,999974
27,999973
28,999972
29,999971
30,999970
31,999969
32,999968
33,999967
34,999966
35,999965
36,999964
37,999963
38,999962
39,999961
40,999960
41,999959
42,999958
43,999957
44,999956
45,999955
46,999954
47,999953
48,999952
49,999951
50,999950
51,999949
52,999948
53,999947
54,999946
55,999945
56,999944
57,999943
58,999942
59,999941
60,999940
61,999939
62,999938
63,999937
64,999936
65,999935
66,999934
67,999933
68,999932
69,999931
70,999930
71,999929
72,999928
73,999927
74,999926
75,999925
76,999924
77,999923
78,999922
79,999921
80,999920
81,999919
82,999918
83,999917
84,999916
85,999915
86,999914
87,999913
88,999912
89,999911
90,999910
91,999909
92,999908
93,999907
94,999906
95,999905
96,999904
97,999903
98,999902
99,999901
100,999900
101,999899
102,999898
103,999897
104,999896
105,999895
106,999894
107,999893
108,999892
109,999891
110,999890
111,999889
112,999888
113,999887
114,999886
115,999885
116,999884
117,999883
118,999882
119,999881
120,999880
121,999879
122,999878
123,999877
124,999876
125,999875
126,999874
127,999873
128,999872
129,999871
130,999870
131,999869
132,999868
133,999867
134,999866
135,999865
136,999864
137,999863
138,999862
139,999861
140,999860
141,999859
142,999858
143,999857
144,999856
145,999855
146,999854
147,999853
148,999852
149,999851
150,999850
151,999849
152,999848
153,999847
154,999846
155,999845
156,999844
157,999843
158,999842
159,999841
160,999840
161,999839
162,999838
163,999837
164,999836
165,999835
166,999834
167,999833
168,999832
169,999831
170,999830
171,999829
172,999828
173,999827
174,999826
175,999825
176,999824
177,999823
178,999822
179,999821
180,999820
181,999819
182,999818
183,999817
184,999816
185,999815
186,999814
187,999813
188,999812
189,999811
190,999810
191,999809
192,999808
193,999807
194,999806
195,999805
196,999804
197,999803
198,999802
199,999801
200,999800
201,999799
202,999798
203,999797
204,999796
205,999795
206,999794
207,999793
208,999792
209,999791
210,999790
211,999789
212,999788
213,999787
214,999786
215,999785
216,999784
217,999783
218,999782
219,999781
220,999780
221,999779
222,999778
223,999777
224,999776
225,999775
226,999774
227,999773
228,999772
229,999771
230,999770
231,999769
232,999768
233,999767
234,999766
235,999765
236,999764
237,999763
238,999762
239,999761
240,999760
241,999759
242,999758
243,999757
244,999756
245,999755
246,999754
247,999753
248,999752
249,999751
250,999750
251,999749
252,999748
253,999747
254,999746
255,999745
256,999744
257,999743
258,999742
259,999741
260,999740
261,999739
262,999738
263,999737
264,999736
265,999735
266,999734
267,999733
268,999732
269,999731
270,999730
271,999729
272,999728
273,999727
274,999726
275,999725
276,999724
277,999723
278,999722
279,999721
280,999720
281,999719
282,999718
283,999717
284,999716
285,999715
286,999714
287,999713
288,999712
289,999711
290,999710
291,999709
292,999708
293,999707
294,999706
295,999705
296,999704
297,999703
298,999702
299,999701
300,999700
301,999699
302,999698
303,999697
304,999696
305,999695
306,999694
307,999693
308,999692
309,999691
310,999690
311,999689
312,999688
313,999687
314,999686
315,999685
316,999684
317,999683
318,999682
319,999681
320,999680
321,999679
322,999678
323,999677
324,999676
325,999675
326,999674
327,999673
328,999672
329,999671
330,999670
331,999669
332,999668
333,999667
334,999666
335,999665
336,999664
337,999663
338,999662
339,999661
340,999660
341,999659
342,999658
343,999657
344,999656
345,999655
346,999654
347,999653
348,999652
349,999651
350,999650
351,999649
352,999648
353,999647
354,999646
355,999645
356,999644
357,999643
358,999642
359,999641
360,999640
361,999639
362,999638
363,999637
364,999636
365,999635
366,999634
367,999633
368,999632
369,999631
370,999630
371,999629
372,999628
373,999627
374,999626
375,999625
376,999624
377,999623
378,999622
379,999621
380,999620
381,999619
382,999618
383,999617
384,999616
385,999615
386,999614
387,999613
388,999612
389,999611
390,999610
391,999609
392,999608
393,999607
394,999606
395,999605
396,999604
397,999603
398,999602
399,999601
400,999600
401,999599
402,999598
403,999597
404,999596
405,999595
406,999594
407,999593
408,999592
409,999591
410,999590
411,999589
412,999588
413,999587
414,999586
415,999585
416,999584
417,999583
418,999582
419,999581
420,999580
421,999579
422,999578
423,999577
424,999576
425,999575
426,999574
427,999573
428,999572
429,999571
430,999570
431,999569
432,999568
433,999567
434,999566
435,999565
436,999564
437,999563
438,999562
439,999561
440,999560
441,999559
442,999558
443,999557
444,999556
445,999555
446,999554
447,999553
448,999552
449,999551
450,999550
451,999549
452,999548
453,999547
454,999546
455,999545
456,999544
457,999543
458,999542
459,999541
460,999540
461,999539
462,999538
463,999537
464,999536
465,999535
466,999534
467,999533
468,999532
469,999531
470,999530
471,999529
472,999528
473,999527
474,999526
475,999525
476,999524
477,999523
478,999522
479,999521
480,999520
481,999519
482,999518
483,999517
484,999516
485,999515
486,999514
487,999513
488,999512
489,999511
490,999510
491,999509
492,999508
493,999507
494,999506
495,999505
496,999504
497,999503
498,999502
499,999501
500,999500
